Matchup,Open,Closing Range,Close Start Range,Close End Range,Movement,Event,Fight Date
Daniel Cormier vs Antonio Silva,-165,-145 ... -145,-145,-145,-4.4%,Strikeforce Grand Prix: Barnett vs. Kharitonov,Sep 10th 2011
Daniel Cormier vs Jeff Monson,270,+420 ... +420,420,420,-5.6%,Strikeforce: Overeem vs. Werdum,Jun 18th 2011
Daniel Cormier vs Devin Cole,500,+550 ... +550,550,550,0%,Strikeforce Challengers 13,Jan 7th 2011
Daniel Cormier vs Jason Riley,650,+850 ... +850,850,850,+0.3%,Strikeforce: Houston,Aug 21st 2010
Daniel Cormier vs Tony Johnson,230,+275 ... +275,275,275,-1.9%,King Of The Cage: Imminent Danger,Aug 13th 2010
Stipe Miocic vs Jon Jones,-200,-440 ... -340,-440,-340,+33.8%,UFC,Nov 12th 2023
Stipe Miocic vs Daniel Cormier,-110,-117 ... -110,-117,-110,+0.9%,UFC 252: Miocic vs. Cormier 3,Aug 15th 2020
Stipe Miocic vs Daniel Cormier,-150,-146 ... -139,-146,-139,-4.5%,UFC 241: Cormier vs. Miocic 2,Aug 17th 2019
Stipe Miocic vs Daniel Cormier,140,+132 ... +140,132,140,+3.2%,UFC 226: Miocic vs. Cormier,Jul 7th 2018
Stipe Miocic vs Francis Ngannou,-160,-176 ... -170,-176,-170,+8.4%,UFC 220: Miocic vs. Ngannou,Jan 20th 2018
Stipe Miocic vs Alistair Overeem,140,+121 ... +125,121,125,+6.5%,UFC 203: Miocic vs. Overeem,Sep 10th 2016
Stipe Miocic vs Fabricio Werdum,-225,-185 ... -175,-185,-175,-7.8%,UFC 198: Werdum vs. Miocic,May 14th 2016
Stipe Miocic vs Andrei Arlovski,185,+175 ... +220,175,220,+4.9%,UFC 195: Lawler vs. Condit,Jan 2nd 2016
Stipe Miocic vs Mark Hunt,120,+195 ... +220,195,220,-15.8%,UFC Fight Night 65: Hunt vs. Miocic,May 9th 2015
Stipe Miocic vs Junior Dos,Santos,-270 -465 ...,-270,...,+37%,UFC on FOX 13: Dos Santos vs. Miocic,-400 Dec 13th 2014
Stipe Miocic vs Fabio Maldonado,335,+500 ... +535,500,535,-4.1%,UFC: The Ultimate Fighter Brazil 3 Finale,May 31st 2014
Stipe Miocic vs Gabriel Gonzaga,160,+250 ... +260,250,260,-10.7%,UFC on FOX 10: Henderson vs. Thomson,Jan 25th 2014
Stipe Miocic vs Francis Ngannou,-225,-144 ... -133,-144,-133,-34.3%,UFC 260: Miocic vs. Ngannou 2,Mar 27th 2021
Stipe Miocic vs Junior Dos,Santos,+175 +145 ...,175,...,+11.3%,UFC 211: Miocic vs. Dos Santos 2,+149 May 13th 2017
Stipe Miocic vs Roy Nelson,-260,-275 ... -270,-275,-270,+15.2%,UFC 161: Evans vs. Henderson,Jun 15th 2013
Stipe Miocic vs Stefan Struve,180,+155 ... +155,155,155,+12.8%,UFC on FUEL TV 5: Struve vs. Miocic,Sep 29th 2012
Stipe Miocic vs Shane Del,Rosario,-140 +145 ...,-140,...,-25.4%,UFC 146: Dos Santos vs. Mir,+150 May 26th 2012
Stipe Miocic vs Philip de,Fries,+300 +410 ...,300,...,-5.2%,UFC on FUEL TV 1: Ellenberger vs. Sanchez,+410 Feb 15th 2012
Stipe Miocic vs Joey Beltran,170,+255 ... +255,255,255,-8%,UFC 136: Edgar vs. Maynard 3,Oct 8th 2011
Stipe Miocic vs Joey Beltran,170,+255 ... +255,255,255,-8%,UFC 136: Edgar vs. Maynard 3,Oct 8th 2011
Cain Velasquez vs Francis Ngannou,130,+170 ... +175,170,175,-6.2%,UFC on ESPN 1: Ngannou vs. Velasquez,Feb 17th 2019
Cain Velasquez vs Travis Browne,220,+270 ... +295,270,295,-3.2%,UFC 200: Tate vs. Nunes,Jul 9th 2016
Cain Velasquez vs Fabricio Werdum,355,+365 ... +370,365,370,-1.7%,UFC 188: Velasquez vs. Werdum,Jun 13th 2015
Cain Velasquez vs Junior Dos,Santos,+150 +175 ...,150,...,-5.1%,UFC 166: Velasquez vs. Dos Santos III,+185 Oct 19th 2013
Cain Velasquez vs Antonio Silva,400,+500 ... +570,500,570,-2.1%,UFC 160: Velasquez vs. Silva II,May 25th 2013
Cain Velasquez vs Junior Dos,Santos,-135 -210 ...,-135,...,+22.7%,UFC 155: Dos Santos vs. Velasquez II,-190 Dec 29th 2012
Cain Velasquez vs Antonio Silva,250,+315 ... +355,315,355,-2.2%,UFC 146: Dos Santos vs. Mir,May 26th 2012
Cain Velasquez vs Junior Dos,Santos,+105 +115 ...,105,...,+3.3%,UFC On FOX 1: Velasquez vs. Dos Santos,+115 Nov 12th 2011
Cain Velasquez vs Brock Lesnar,-190,-165 ... -165,-165,-165,+2%,UFC 121: Lesnar vs. Velasquez,Oct 23rd 2010
Cain Velasquez vs Antonio Rodrigo,Nogueira,-150 -110 ...,-150,...,-10%,UFC 110: Nogueira vs. Velasquez,-110 Feb 21st 2010
Cain Velasquez vs Ben Rothwell,200,+285 ... +285,285,285,-5.1%,UFC 104: Machida vs Rua,Oct 24th 2009
Cain Velasquez vs Cheick Kongo,-155,+155 ... +155,155,155,-43.2%,UFC 99: The Comeback,Jun 13th 2009
Cain Velasquez vs Denis Stojnic,415,+500 ... +500,500,500,-2.6%,UFC Fight Night 17: Lauzon vs Stephens,Feb 7th 2009
Cain Velasquez vs Jake O,Brien,-140 +260 ...,-140,...,-52.4%,UFC Fight Night 14: Silva vs Irvin,+260 Jul 19th 2008
Cain Velasquez vs Brad Morris,190,+210 ... +210,210,210,0%,UFC 83: Serra vs St-Pierre 2,Apr 19th 2008
Travis Browne vs Aleksei Oliynyk,140,+235 ... +245,235,245,-14.9%,UFC 213: Romero vs. Whittaker,Jul 8th 2017
Travis Browne vs Derrick Lewis,-115,-108 ... -105,-108,-105,+4.1%,UFC Fight Night 105: Lewis vs. Browne,Feb 19th 2017
Travis Browne vs Fabricio Werdum,-270,-265 ... -260,-265,-260,+10.2%,UFC 203: Miocic vs. Overeem,Sep 10th 2016
Travis Browne vs Cain Velasquez,-300,-355 ... -330,-355,-330,+16.4%,UFC 200: Tate vs. Nunes,Jul 9th 2016
Travis Browne vs Matt Mitrione,150,+150 ... +150,150,150,+3.3%,UFC Fight Night 81: Dillashaw vs. Cruz,Jan 17th 2016
Travis Browne vs Andrei Arlovski,285,+360 ... +400,360,400,-3.2%,UFC 187: Johnson vs. Cormier,May 23rd 2015
Travis Browne vs Brendan Schaub,190,+385 ... +400,385,400,-13.2%,UFC 181: Hendricks vs. Lawler 2,Dec 6th 2014
Travis Browne vs Fabricio Werdum,160,+195 ... +200,195,200,-2.2%,UFC on FOX 11: Werdum vs. Browne,Apr 19th 2014
Travis Browne vs Josh Barnett,-190,-165 ... -135,-165,-135,-8.7%,UFC 168: Weidman vs. Silva II,Dec 28th 2013
Travis Browne vs Alistair Overeem,-280,-180 ... -150,-180,-150,-22.4%,UFC Fight Night 26: Shogun vs. Sonnen,Aug 17th 2013
Travis Browne vs Gabriel Gonzaga,160,+195 ... +225,195,225,-3.6%,UFC: The Ultimate Fighter 17 Finale,Apr 13th 2013
Travis Browne vs Antonio Silva,200,+165 ... +170,165,170,+11.4%,UFC on FX 5: Browne vs. Bigfoot,Oct 5th 2012
Travis Browne vs Chad Griggs,145,+270 ... +270,270,270,-15.5%,UFC 145: Jones vs. Evans,Apr 21st 2012
Travis Browne vs Rob Broughton,280,+375 ... +375,375,375,-1%,UFC 135: Jones vs. Rampage,Sep 24th 2011
Travis Browne vs Stefan Struve,100,+118 ... +118,118,118,+3.8%,UFC 130: Rampage vs. Hamill,May 28th 2011
Travis Browne vs Cheick Kongo,-180,-178 ... -178,-178,-178,+10.1%,UFC 120: Bisping vs. Akiyama,Oct 16th 2010
Travis Browne vs James McSweeney,155,+165 ... +165,165,165,-0.9%,UFC: The Ultimate Fighter 11 Finale,Jun 19th 2010
Aleksei Oliynyk vs Ilir Latifi,-200,-210 ... -180,-210,-180,-3.8%,UFC Vegas 57,Oct 1st 2022
Aleksei Oliynyk vs Serghei Spivac,-250,-303 ... -250,-303,-250,+2.8%,UFC on ESPN: The Korean Zombie vs. Ige,Jun 19th 2021
Aleksei Oliynyk vs Junior Albini,-120,-145 ... -137,-145,-137,+18.9%,UFC 224: Nunes vs. Pennington,May 12th 2018
Aleksei Oliynyk vs Travis Browne,-180,-290 ... -275,-290,-275,+29.4%,UFC 213: Romero vs. Whittaker,Jul 8th 2017
Junior Albini vs Maurice Greene,-155,-125 ... -111,-125,-111,-7.5%,UFC on ESPN 3: Ngannou vs. Dos Santos,Jun 29th 2019
Junior Albini vs Jairzinho Rozenstruik,-140,+100 ... +126,100,126,-16.3%,UFC on ESPN+ 2: Assuncao vs. Moraes 2,Feb 2nd 2019
Junior Albini vs Aleksei Oliynyk,-120,+117 ... +135,117,135,-7.3%,UFC 224: Nunes vs. Pennington,May 12th 2018
Junior Albini vs Andrei Arlovski,160,+260 ... +270,260,270,-12.9%,UFC Fight Night 120: Poirier vs. Pettis,Nov 11th 2017
Junior Albini vs Timothy Johnson,-245,-285 ... -280,-285,-280,+19.8%,UFC on FOX 25: Weidman vs. Gastelum,Jul 22nd 2017
Maurice Greene vs Renan Ferreira,-770,-500 ... -375,-500,-375,-36.6%,Professional Fighters League,Aug 19th 2023
Maurice Greene vs Ante Delija,-350,-600 ... -549,-600,-549,+31.2%,PFL,Jun 17th 2023
Maurice Greene vs Marcelo Nunes,-450,-400 ... -270,-400,-270,-26.1%,PFL Week 2,Apr 7th 2023
Maurice Greene vs Denis Goltsov,-450,-909 ... -649,-909,-649,+20.5%,PFL Week 5,Jun 24th 2022
Maurice Greene vs Greg Hardy,-205,-360 ... -333,-360,-333,+26.7%,UFC on ESPN+ 39: Hall vs. Silva,Oct 31st 2020
Maurice Greene vs Gian Villante,185,+225 ... +245,225,245,-8.2%,UFC on ESPN 12: Poirier vs. Hooker,Jun 27th 2020
Maurice Greene vs Sergei Pavlovich,-245,-250 ... -225,-250,-225,+7.4%,UFC on ESPN+ 20: Maia vs. Askren,Oct 26th 2019
Maurice Greene vs Junior Albini,115,-111 ... +105,-111,105,+10.3%,UFC on ESPN 3: Ngannou vs. Dos Santos,Jun 29th 2019
Maurice Greene vs Jeff Hughes,-150,-260 ... -222,-260,-222,+31.1%,UFC on ESPN+ 4: Lewis vs. Dos Santos,Mar 9th 2019
Maurice Greene vs Michel Batista,145,+113 ... +120,113,120,+10.4%,UFC: The Ultimate Fighter 28 Finale: Dos Anjos vs. Usman,Nov 30th 2018
Maurice Greene vs Jeff Hughes,150,-146 ... -125,-146,-125,+25.9%,LFA 38: Hughes vs. Greene,Apr 27th 2018
Maurice Greene vs Jermaine McDermott,115,-155 ... -155,-155,-155,+23.5%,LFA 19: Michaud vs. Rodrigues,Aug 18th 2017
Maurice Greene vs Marcos Rogerio,de,Lima -180 -200,Lima,-200,-0.4%,UFC on ESPN 24: Rodriguez vs. Waterson,... -174 May 8th 2021
Maurice Greene vs Aleksei Oleinik,-180,-110 ... +103,-110,103,-30.4%,UFC 246: McGregor vs. Cowboy,Jan 18th 2020
Maurice Greene vs Aleksei Oleinik,-180,-110 ... +103,-110,103,-30.4%,UFC 246: McGregor vs. Cowboy,Jan 18th 2020
Marcos Rogerio vs Stefan Struve,-110,-115 ... -111,-115,-111,+0.9%,UFC on ESPN+ 3: Blachowicz vs. Santos,Feb 23rd 2019
Marcos Rogerio vs Ovince St.,Preux,-270 -160 ...,-270,...,-20.8%,UFC Fight Night 108: Swanson vs. Lobov,-160 Apr 22nd 2017
Marcos Rogerio vs Jeremy Kimball,130,+110 ... +125,110,125,+7.9%,UFC on FOX 23: Shevchenko vs. Pena,Jan 28th 2017
Marcos Rogerio vs Gadzhimurad Antigulov,100,+145 ... +145,145,145,-7.5%,UFC Fight Night 100: Bader vs. Nogueira,Nov 19th 2016
Marcos Rogerio vs Clint Hester,100,-107 ... +100,-107,100,+7.6%,UFC 197: Jones vs. Saint Preux,Apr 23rd 2016
Marcos Rogerio vs Nikita Krylov,110,+130 ... +130,130,130,0%,UFC Fight Night 74: Holloway vs. Oliveira,Aug 23rd 2015
Marcos Rogerio vs Igor Pokrajac,190,+345 ... +400,345,400,-11.3%,UFC Fight Night 58: Machida vs. Dollaway,Dec 20th 2014
Marcos Rogerio vs Richardson Moreira,140,+140 ... +140,140,140,+5.4%,UFC: The Ultimate Fighter Brazil 3 Finale,May 31st 2014
Marcos Rogerio vs Maurice Greene,155,+146 ... +163,146,163,-0.8%,UFC on ESPN 24: Rodriguez vs. Waterson,May 8th 2021
Marcos Rogerio vs Ben Sosoli,120,+132 ... +140,132,140,-2.1%,UFC on ESPN+ 26: Felder vs. Hooker,Feb 22nd 2020
Marcos Rogerio vs Mike Kyle,-135,-105 ... -105,-105,-105,-9.7%,Strikeforce Grand Prix: Barnett vs. Kharitonov,Sep 10th 2011
Ben Sosoli vs Greg Hardy,-450,-400 ... -357,-400,-357,-12.5%,UFC on ESPN 6: Reyes vs. Weidman,Oct 18th 2019
Ben Sosoli vs Dustin Joynson,-120,-132 ... -105,-132,-105,+7.4%,Dana White's Contender Series 26,Aug 27th 2019
Ben Sosoli vs Marcos Rogerio,de,Lima -150 -172,Lima,-172,+7.2%,UFC on ESPN+ 26: Felder vs. Hooker,... -150 Feb 22nd 2020
Greg Hardy vs Serghei Spivac,-178,-205 ... -167,-205,-167,+1.2%,UFC Fight Night 204,Mar 5th 2022
Greg Hardy vs Tai Tuivasa,-170,-133 ... -110,-133,-110,-21.9%,UFC 264: Poirier vs. McGregor 3,Jul 10th 2021
Greg Hardy vs Marcin Tybura,-135,-115 ... +100,-115,100,-14.1%,UFC Fight Night 183: Thompson vs. Neal,Dec 19th 2020
Greg Hardy vs Maurice Greene,175,+250 ... +300,250,300,-15.6%,UFC on ESPN+ 39: Hall vs. Silva,Oct 31st 2020
Greg Hardy vs Alexander Volkov,-175,-333 ... -270,-333,-270,+25.8%,UFC on ESPN+ 21: Zabit vs. Kattar,Nov 9th 2019
Greg Hardy vs Ben Sosoli,350,+275 ... +325,275,325,+3.6%,UFC on ESPN 6: Reyes vs. Weidman,Oct 18th 2019
Greg Hardy vs Juan Adams,-155,-115 ... -106,-115,-106,-12.6%,UFC on ESPN 4: Dos Anjos vs. Edwards,Jul 20th 2019
Greg Hardy vs Dmitrii Smoliakov,185,+245 ... +250,245,250,-4%,UFC on ESPN+ 8: Jacare vs. Hermansson,Apr 27th 2019
Greg Hardy vs Allen Crowder,175,+360 ... +400,360,400,-17.4%,UFC on ESPN+ 1: Cejudo vs. Dillashaw,Jan 19th 2019
Greg Hardy vs Tebaris Gordon,200,+385 ... +480,385,480,-15%,Dana White's Contender Series 16,Aug 7th 2018
Greg Hardy vs Austen Lane,-175,-108 ... -105,-108,-105,-25.2%,Dana White's Contender Series 9,Jun 12th 2018
Greg Hardy vs Yorgan de,Castro,+165 +185 ...,165,...,-6.8%,UFC 249: Ferguson vs. Gaethje,+200 May 9th 2020
Marcin Tybura vs Tom Aspinall,-333,-590 ... -490,-590,-490,+28%,UFC 292,Jul 22nd 2023
Marcin Tybura vs Blagoy Ivanov,155,+115 ... +128,115,128,+9.3%,UFC Fight Night: Lewis vs. Spivak,Feb 4th 2023
Marcin Tybura vs Alexander Romanov,-240,-400 ... -315,-400,-315,+19.7%,UFC 278: Usman vs. Edwards 2,Aug 20th 2022
Marcin Tybura vs Jairzinho Rozenstruik vs Marcin Tybura,180,+210 ... +250,210,250,, ,
Alexander Volkov vs Marcin Tybura,-150,-190 ... -166,-190,-166,+15.7%,UFC 267: Brachowicz vs. Teixeira,
Walt Harris vs Marcin Tybura,-135,-115 ... +100,-115,100,-6.9%,UFC Fight Night 189: Rozenstruik vs. Sakai,
Greg Hardy vs Marcin Tybura,-115,+118 ... +125,118,125,+9.6%,UFC Fight Night 183: Thompson vs. Neal,
Ben Rothwell vs Marcin Tybura,-145,-139 ... -134,-139,-134,+16.2%,UFC on ESPN+ 37: Moraes vs. Sandhagen,
Maxim Grishin vs Marcin Tybura,-135,+100 ... +123,100,123,+2.3%,UFC 251: Usman vs. Masvidal,
Augusto Sakai vs Marcin Tybura,-185,-143 ... -129,-143,-129,+16.7%,UFC on ESPN+ 16: Cowboy vs. Gaethje,
Shamil Abdurakhimov vs Marcin Tybura,-175,-193 ... -190,-193,-190,+11.2%,UFC on ESPN+ 7: Overeem vs. Oleinik,
Stefan Struve vs Marcin Tybura,-130,-110 ... -105,-110,-105,-3.3%,UFC Fight Night 134: Shogun vs. Smith,
Derrick Lewis vs Marcin Tybura,185,+250 ... +250,250,250,+8.1%,UFC Fight Night 126: Cerrone vs. Medeiros,
Fabricio Werdum vs Marcin Tybura,-190,-230 ... -225,-230,-225,+18.6%,UFC Fight Night 121: Werdum vs. Tybura,
Andrei Arlovski vs Marcin Tybura,-140,-180 ... -175,-180,-175,-6.1%,UFC Fight Night 111: Holm vs. Correia,
Luis Henrique vs Marcin Tybura,-145,-110 ... -110,-110,-110,-9.8%,UFC 209: Woodley vs. Thompson 2,
Viktor Pesta vs Marcin Tybura,-190,-112 ... -110,-112,-110,+11.5%,UFC Fight Night 92: Rodriguez vs. Caceres,
Timothy Johnson vs Marcin Tybura,-115,+100 ... +115,100,115,+19.7%,UFC Fight Night 86: Rothwell vs. Dos Santos,
Timothy Johnson vs Marcin Tybura,-115,+100 ... +115,100,115,+19.7%,UFC Fight Night 86: Rothwell vs. Dos Santos,
Ben Rothwell vs Josh Copeland vs Ben Rothwell,-150,-178 ... -160,-178,-160,, ,
Marcos Rogerio vs Ben Rothwell,-245,-360 ... -333,-360,-333,-4.5%,UFC Fight Night: Holloway vs. Rodriguez,
Chris Barnett vs Ben Rothwell,-105,-152 ... -138,-152,-138,-9.3%,UFC Fight Night 188: Font vs. Garbrandt,
Marcin Tybura vs Ben Rothwell,105,+125 ... +132,125,132,-15.5%,UFC on ESPN+ 37: Moraes vs. Sandhagen,
Ovince St. vs Ben Rothwell,-215,-189 ... -172,-189,-172,+10.5%,UFC on ESPN+ 29: Smith vs. Teixeira,
Andrei Arlovski vs Ben Rothwell,-110,-128 ... -120,-128,-120,+6%,UFC on ESPN 4: Dos Anjos vs. Edwards,
Blagoy Ivanov vs Ben Rothwell,110,-115 ... -105,-115,-105,-5.7%,UFC on ESPN+ 4: Lewis vs. Dos Santos,
Junior Dos vs Ben Rothwell,145,+115 ... +120,115,120,-10%,UFC Fight Night 86: Rothwell vs. Dos Santos,
Josh Barnett vs Ben Rothwell,125,+145 ... +150,145,150,-12.4%,UFC on FOX 18: Johnson vs. Bader,
Matt Mitrione vs Ben Rothwell,260,+290 ... +300,290,300,+9.3%,UFC Fight Night 68: Henderson vs. Boetsch,
Alistair Overeem vs Ben Rothwell,-145,-161 ... -150,-161,-150,+8.9%,UFC Fight Night 50: Souza vs. Mousasi,
