Fighter_ID,Fight_ID,Fight_Name,Fight_Date,ROUND,TIME,Outcome,Result_draw,Result_loss,Result_nc,Result_win,METHOD_CNC,METHOD_DQ,METHOD_Decision,METHOD_KO/TKO,METHOD_M-DEC,METHOD_Other,METHOD_Overturned,METHOD_S-DEC,METHOD_SUB,METHOD_U-DEC,Result_win_cumulative,Result_loss_cumulative,Result_nc_cumulative,Result_draw_cumulative,METHOD_CNC_cumulative,METHOD_DQ_cumulative,METHOD_Decision_cumulative,METHOD_KO/TKO_cumulative,METHOD_M-DEC_cumulative,METHOD_Other_cumulative,METHOD_Overturned_cumulative,METHOD_S-DEC_cumulative,METHOD_SUB_cumulative,METHOD_U-DEC_cumulative
008cf84faae9c7a5,f54a156c054bca14,Strikeforce Challengers 8,2010-05-21,3,5:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
008cf84faae9c7a5,39c0c09f8976dafa,Strikeforce Challengers 14,2011-02-18,1,0:38,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
008dc37cca279def,bd057764cb51f065,UFC 119: Mir vs Cro Cop,2010-09-25,1,1:03,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
008dc37cca279def,ed6a02c8dcc6f922,UFC 124: St-Pierre vs Koscheck 2,2010-12-11,1,3:55,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
008dc37cca279def,774f7eed6b0180be,UFC Fight Night: Nogueira vs Davis,2011-03-26,2,4:10,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
008ea710276c9606,61fe99ff744ac061,DWCS 4.4,2020-08-25,3,5:00,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
008ea710276c9606,b5a8323de18f7e95,UFC 261: Usman vs. Masvidal 2,2021-04-24,3,5:00,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
008ea710276c9606,acec5f4c6fee1ae2,UFC Fight Night: Costa vs. Vettori,2021-10-23,2,0:46,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
008ea710276c9606,7e20b0536fbbd560,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,3,5:00,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
009341ed974bad72,cd8cdb539deaa47f,UFC 251: Usman vs. Masvidal,2020-07-11,2,0:49,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
009341ed974bad72,394802bb096b403e,UFC Fight Night: Reyes vs. Prochazka,2021-05-01,2,4:29,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
009341ed974bad72,fd49f89b9d97566b,UFC 275: Teixeira vs. Prochazka,2022-06-11,5,4:32,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
009c4420727149ea,6eb2195511126278,DWCS 5.4,2021-09-21,1,4:21,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
009c4420727149ea,c16bda7548181613,UFC 271: Adesanya vs. Whittaker 2,2022-02-12,3,5:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
009c4420727149ea,1b204fc28bb023e6,UFC 280: Oliveira vs. Makhachev,2022-10-22,3,5:00,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
