,Fighter_ID,Fighter_Name,matches
111,047a91d3d9c79b05,Collin Anglin ,
112,e06fd1260ac865a7,Yoji Anjo Mr. 200%,
113,d802174b0c0c1f4e,Magomed Ankalaev ,Magomed Ankalaev
114,d343df8ba11f4c4e,Nina Ansaroff ,Nina Ansaroff
115,af997f7611673880,Gadzhimurad Antigulov ,Gadzhimurad Antigulov
116,25b31165758402dd,Adam Antolin Captain Chaos,Adam Antolin
117,dbd198f780286aca,Angelo Antonio ,
118,78d48d3874dacafd,Azunna Anyanwu Zulu,
119,4665f9f909cd7214,Shinsho Anzai Animal,Shinsho Anzai
120,79ded75550efc139,Shinya Aoki Tobikan Judan,
121,7d420039bbfe7c1a,Aori Qileng ,
122,0c1a04afca64e38f,Josh Appelt ,
123,1ccff7f0cfdf85eb,Erik Apple ,
124,269d103c96a4c3a5,Kenji Arai ,
125,73ef22f25d0f70e2,Romie Aram ,
126,71002dbc1743b9a7,Felipe Arantes Sertanejo,
127,dbea8c1cb327ab3d,Igor Araujo ,
128,36541f1e6c5d4955,Viviane Araujo Vivi,Viviane Araujo
129,1291edf2d566a71a,Julio Arce ,
130,d25e39e74efb0a77,Art Arciniega King Arthur,
131,9c9455912d917e4e,Tristan Arenal ,
132,3738e68d2261e60f,Andrei Arlovski The Pitbull,Andrei Arlovski
133,30ad2050273d016a,Joey Armstrong ,
134,bf0e700106d00e55,Austin Arnett ,
135,05fbfe628658c538,Ricardo Arona The Brazilian Tiger,
136,770b9d4813c25902,Chalid Arrab Die Faust,
137,c136b2a8852da5bd,Akbarh Arreola El Caballero,Akbarh Arreola
138,de62052b2ede65ba,Matt Arroyo No Regard,
139,61fb8098ccf81c7f,Antonio Arroyo ,Antonio Arroyo
140,2dea80c069847321,Gilles Arsene ,
141,91e3388e69060e69,Veta Arteaga ,
142,49f78022126bf4a4,Cesar Arzamendia Goku,
143,a373085066dbfb54,Teddy Ash Bear,
144,d26a0988c9dc9886,Arman Ashimov Mustafa Ozturik,
145,2abc414136504554,Askar Askar AK-47,
146,b1d19449397541dc,Askar Askarov Bullet,Askar Askarov
147,9be6020024133293,Cyril Asker Silverback,Cyril Asker
148,06827d70c53ff0d9,Scott Askham ,
149,0b31f87be71ebbb1,Ben Askren Funky,Ben Askren
150,6e8f1bcdda94ff45,Ibo Aslan The Last Ottoman,
151,399afbabc02376b5,Tom Aspinall ,
152,ff222167cce02919,Bruno Assis Brunao,
153,d0d7160824278840,Junior Assuncao ,Junior Assuncao
154,2f13e4020cea5b38,Raphael Assuncao ,Raphael Assuncao
155,fd7acf42bd6e7e95,Bazigit Atajev Volk,
156,210935fd21670f6d,Rich Attonito The Raging Bull,
157,55ee431411ccf07a,Olivier Aubin-Mercier The Canadian Gangster,Olivier Aubin-Mercier
158,196ed28337adc630,Pat Audinwood Awesomely Awesome,Pat Audinwood
159,4d3b08ab127c7585,Jose Augusto Gugu,
160,04643fd03d9159cc,Marcus Aurelio Maximus,
161,956dcac65e7b34d6,David Avellan ,
162,8753e125f4499816,Blas Avena The Disciple,
163,ba5c6eeb8ef45f5c,Levi Avera ,
164,033d19259f589457,Anthony Avila ,
165,4665cbf36b08193b,Chris Avila ,
166,86d9dbe1bfcbade7,Julia Avila Raging Panda,Julia Avila
167,da603332ad41f165,Saad Awad Assassin,
168,26387c19f32dda0f,Javy Ayala Eye Candy,Javy Ayala
169,6eaec40f724852f4,Jessin Ayari ,Jessin Ayari
170,46d0a888d87d91ac,Abu Azaitar ,Abu Azaitar
171,ee18ff42063174df,Ottman Azaitar Bulldozer,Ottman Azaitar
172,063649e21bc9d6d5,Luiz Azeredo ,
173,9bcfb40dbcd50568,Luciano Azevedo ,
174,2af2f2e26c4c0402,Hunter Azure ,Hunter Azure
175,39cc64bf0a269db9,Niklas Backstrom ,
176,fd5b6598a3b70c0a,Seth Baczynski The Polish Pistola,Seth Baczynski
177,c0ab242c40decc55,Ryan Bader Darth,Ryan Bader
178,4fcf6e0c4e0e6664,Izabela Badurek ,
179,82d4c957649faf9b,Miguel Baeza Caramel Thunder,
180,3dd92ff9fb0412b3,Ali Bagautinov Puncher,Ali Bagautinov
181,e4d2564ea0e34e2b,Mehdi Baghdad The Sultan,Mehdi Baghdad
182,a52bc1e62cf0b7c6,Melsik Baghdasaryan The Gun,
183,aec185309b4843d0,Siyar Bahadurzada The Great,
184,e4a47b07044ddd72,Ignacio Bahamondes La Jaula,Ignacio Bahamondes
185,e2b8186b618b00c4,Shamar Bailey ,
186,34dbcd4dbaf21a36,Jordan Bailey ,
187,7d5b12de1625984e,Scott Baker ,
188,898337ef520fe4d3,Bryan Baker The Beast,
189,04b39f4e8eb59d7c,Oluwale Bamgbose Holy War Angel,Oluwale Bamgbose
190,4c4b44e3cf5815b3,Stephen Banaszak ,
191,5c2ce761399dc9c5,Marcin Bandel Bomba,
192,2c2caf2f2bab9df5,Humberto Bandenay ,
193,9a2d3567abc02e34,Tae Hyun Bang Supernatural,
194,c50ea21fe9ef478d,Yohan Banks ,
195,9ddfb3369a3b0394,Antonio Banuelos ,
196,2c99576fefe53c7c,Renan Barao The Baron,Renan Barao
197,06dced58ca24a6bd,Junior Barata ,
198,6a740daf1b279661,Maycee Barber The Future,Maycee Barber
199,a331233f597090a5,Bryan Barberena Bam Bam,Bryan Barberena
200,64a50dad704d1d49,Edson Barboza Junior,Edson Barboza
201,b9f28e7045fdfce7,Raoni Barcelos ,
202,172c2135e70f87b7,Luke Barnatt The Bigslow,
203,c06a5c95f1169c0b,James Barnes ,
204,78a5eea49638685d,Nick Barnes ,
205,ad3f53c454cbbead,Josh Barnett The Warmaster,Josh Barnett
206,91e69a1c3c87325b,Chris Barnhizer ,
207,80c0bed43da0e27b,David Baron ,
208,1652f3213655b935,Phil Baroni The New York Bad Ass,
209,f12f979b657ab876,Dan Barrera The Fireman,
210,a220be6d41d6f97d,Carlos Barreto ,
211,c32eab6c2119e989,Jose Barreto ,
212,d21113c9ff3788ae,Peter Barrett Slippery,
213,8e9eb3fc86db0f7d,Marc-Andre Barriault Powerbar,Marc-Andre Barriault
