Fighter_ID,Fight_ID,Fight_Name,Weight_Class,Opponent,Method,Round_End,Time_End,Fight_format,Referee,Details
01b352b6a9074d5c,4d5c3ddc740b89ca,UFC Fight Night: Bisping vs. Gastelum,Heavyweight Bout,Shamil Abdurakhimov,KO/TKO,1,1:24,      3 Rnd (5-5-5),Steve Perceval,Punches to Head At Distance 
d3df1add9d9a7efb,cb1e57b5f8c92922,UFC Fight Night: Lewis vs. Abdurakhimov,Heavyweight Bout,Shamil Abdurakhimov,KO/TKO,4,3:42,      5 Rnd (5-5-5-5-5),Dan Miragliotta,Punches to Head From Mount 
2f5cbecbbe18bac4,412735f3e0b66ea6,UFC Fight Night: Lineker vs. Dodson,Heavyweight Bout,Walt Harris,Decision - Split,3,5:00,      3 Rnd (5-5-5),Herb Dean,Marcos Rosales 29 - 28.Dave Hagen 28 - 29.Sal D'amato 28 - 29.
c727c7d31c50c4cf,e508ba268cb295c0,UFC Fight Night: Cowboy vs Cowboy,Heavyweight Bout,Shamil Abdurakhimov,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Chip Snider,Phil Rogers 27 - 30.Todd Kruszka 28 - 29.Drew Long 28 - 29.
2f5cbecbbe18bac4,f9373ab59b7a853b,UFC Fight Night: Mendes vs Lamas,Heavyweight Bout,Timothy Johnson,KO/TKO,1,4:57,      3 Rnd (5-5-5),Mike King,Punches to Head From Mount 
c0ed7b208197e8de,2de50e21c8f32761,PRIDE Bushido 12,Lightweight Bout,Naoki Matsushita,Other,2,5:00,      2 Rnd (5-5),Moritaka Oshiro,Time Expired
16d09e800ad7ec79,512e65ebe4fea988,PRIDE Bushido 4,Lightweight Bout,Hiroyuki Abe,Submission,1,2:52,      2 Rnd (5-5),Moritaka Oshiro,Arm Triangle From Side ControlTechnical Submission
e64b96c07d7ce999,484c48d3723e72cd,UFC Fight Night: Cowboy vs. Edwards,Welterweight Bout,Daichi Abe,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Leon Roberts,Ben Cartlidge 26 - 30.Mark Craig 27 - 30.Evan Field 27 - 30.
4c288a2b250bb576,194d3950076b2f83,UFC 221: Romero vs. Rockhold,Welterweight Bout,Daichi Abe,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Mark Simpson,28 - 29.27 - 29.27 - 28.
5140122c3eecd307,e0e4ce7595b5c26a,UFC Fight Night: Saint Preux vs. Okami,Welterweight Bout,Hyun Gyu Lim,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Greg Kleynjans,Anthony Dimitriou 28 - 29.Evan Field 28 - 29.Charlie Keech 28 - 29.
00debc804e2b1cd4,a86b801279e0ef4a,UFC Fight Night: Condit vs Kampmann 2,Middleweight Bout,Papy Abedi,KO/TKO,3,1:32,      3 Rnd (5-5-5),Herb Dean,Punch to Head In Clinch 
c9f6385af6df66d7,e67e15cc6578d1c3,UFC on FUEL TV: Mousasi vs Latifi,Welterweight Bout,Besam Yousef,Decision - Split,3,5:00,      3 Rnd (5-5-5),Robert Sundel,Andreas Ramsby 29 - 28.Jim Bergman 28 - 29.Howard Hughes 28 - 29.
c9f6385af6df66d7,a2308473bcd77da8,UFC on FUEL TV: Gustafsson vs Silva,Welterweight Bout,James Head,Submission,1,4:33,      3 Rnd (5-5-5),Robert Sundel,Rear Naked Choke 
31ee470ef5dc8d7f,30d0cab706e43838,UFC 138: Leben vs Munoz,Welterweight Bout,Papy Abedi,Submission,1,3:32,      3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke 
