Fight_ID,Fighter_ID_0,Knockdowns_0_cumulative,Significant_Strikes_0_cumulative,Total_Strikes_0_cumulative,Head_0_cumulative,Body_0_cumulative,Legs_0_cumulative,Distance_0_cumulative,Clinch_0_cumulative,Ground_0_cumulative,Takedowns_0_cumulative,Submission_Attempt_0_cumulative,Rev_0_cumulative,Control_Time_0_Seconds_cumulative,Fighter_ID_1,Knockdowns_1_cumulative,Significant_Strikes_1_cumulative,Total_Strikes_1_cumulative,Head_1_cumulative,Body_1_cumulative,Legs_1_cumulative,Distance_1_cumulative,Clinch_1_cumulative,Ground_1_cumulative,Takedowns_1_cumulative,Submission_Attempt_1_cumulative,Rev_1_cumulative,Control_Time_1_Seconds_cumulative,HT_cm_0,WT_numeric_0,Reach_cm_0,STANCE_Sideways_0,STANCE_Southpaw_0,STANCE_Orthodox_0,STANCE_Switch_0,HT_cm_1,WT_numeric_1,Reach_cm_1,STANCE_Sideways_1,STANCE_Southpaw_1,STANCE_Orthodox_1,STANCE_Switch_1,Result_win_cumulative_0,Result_loss_cumulative_0,Result_nc_cumulative_0,Result_draw_cumulative_0,METHOD_CNC_cumulative_0,METHOD_DQ_cumulative_0,METHOD_Decision_cumulative_0,METHOD_KO/TKO_cumulative_0,METHOD_M-DEC_cumulative_0,METHOD_Other_cumulative_0,METHOD_Overturned_cumulative_0,METHOD_S-DEC_cumulative_0,METHOD_SUB_cumulative_0,METHOD_U-DEC_cumulative_0,Result_win_cumulative_1,Result_loss_cumulative_1,Result_nc_cumulative_1,Result_draw_cumulative_1,METHOD_CNC_cumulative_1,METHOD_DQ_cumulative_1,METHOD_Decision_cumulative_1,METHOD_KO/TKO_cumulative_1,METHOD_M-DEC_cumulative_1,METHOD_Other_cumulative_1,METHOD_Overturned_cumulative_1,METHOD_S-DEC_cumulative_1,METHOD_SUB_cumulative_1,METHOD_U-DEC_cumulative_1,Fighter_0_Outcome
5ad4c0eae7512878,193b9d1858bc4df3,3,253,696,137,44,72,221,16,16,5,3,1,801,275aca31f61ba28c,0,52,279,24,17,11,35,13,4,2,1,0,348,183.0,155.0,190.0,0.0,0.0,0.0,1.0,178.0,155.0,178.0,0.0,1.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,3.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,0
f8dd1e75978a3957,029eaff01e6bb8f0,8,805,1758,632,83,90,552,169,84,20,7,2,2438,193b9d1858bc4df3,0,139,433,80,29,30,131,5,3,4,7,1,356,175.0,155.0,183.0,0.0,1.0,0.0,0.0,183.0,155.0,190.0,0.0,0.0,0.0,1.0,19.0,6.0,1.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,5.0,8.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,5.0,1
0697d5520b74a8df,193b9d1858bc4df3,3,172,416,111,17,44,158,2,12,2,3,1,377,59279a7c978f7da0,2,312,948,215,50,47,291,3,18,4,3,0,316,183.0,155.0,190.0,0.0,0.0,0.0,1.0,178.0,155.0,178.0,0.0,0.0,1.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,7.0,1
9d6b46a3cf5ec494,193b9d1858bc4df3,3,172,416,111,17,44,158,2,12,2,3,1,377,6256b2b1562cb8e1,2,238,660,128,52,58,208,28,2,9,1,0,317,183.0,155.0,190.0,0.0,0.0,0.0,1.0,190.0,155.0,193.0,0.0,0.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,5.0,1
0f88658e787815c8,193b9d1858bc4df3,1,150,382,99,13,38,139,2,9,2,2,1,362,d1941565abf50b16,0,411,1648,269,95,47,253,66,92,26,12,4,3427,183.0,155.0,190.0,0.0,0.0,0.0,1.0,173.0,155.0,180.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,17.0,11.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,8.0,12.0,1
dc7ba55ca764cfbe,193b9d1858bc4df3,0,64,188,56,4,4,54,2,8,0,1,1,169,4f732e58ed907eff,5,801,2409,505,177,119,595,164,42,15,1,1,2179,183.0,155.0,190.0,0.0,0.0,0.0,1.0,173.0,155.0,175.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,11.0,11.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,1.0,8.0,1
4f60a7e7b848bc6d,193b9d1858bc4df3,0,0,0,0,0,0,0,0,0,0,0,0,0,bb1a2cdad6ff34db,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,155.0,190.0,0.0,0.0,0.0,1.0,178.0,145.0,180.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
7ab1cdfe3e540856,193b9d1858bc4df3,0,12,67,11,1,0,3,1,8,0,0,0,113,cbf5e6f231b55443,0,72,205,43,13,16,48,4,20,5,0,0,665,183.0,155.0,190.0,0.0,0.0,0.0,1.0,180.0,145.0,180.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
84cde29aebf6c00c,971246648e162f0d,0,158,498,93,32,33,77,14,67,1,7,2,238,b93c06d09d1c4ac0,0,191,459,142,29,20,159,30,2,0,0,0,39,185.0,155.0,188.0,0.0,1.0,0.0,0.0,178.0,145.0,178.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0
d42410f6f1039ab5,971246648e162f0d,0,81,284,58,20,3,19,13,49,0,3,2,0,fbf0537e420e698e,0,35,104,26,8,1,20,12,3,6,3,0,196,185.0,155.0,188.0,0.0,1.0,0.0,0.0,165.0,145.0,175.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1
eb567d187f8313fc,58d42b9e920b25fc,0,0,0,0,0,0,0,0,0,0,0,0,0,971246648e162f0d,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,145.0,180.0,0.0,1.0,0.0,0.0,185.0,155.0,188.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
d2ef04d5f384c05a,18e8b7070228e728,0,0,0,0,0,0,0,0,0,0,0,0,0,37c5366d18ed6c05,0,0,0,0,0,0,0,0,0,0,0,0,0,178.0,155.0,178.0,0.0,1.0,0.0,0.0,188.0,155.0,185.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
f7ae397fefa57c70,065eb44700e641a4,0,0,0,0,0,0,0,0,0,0,0,0,0,18e8b7070228e728,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,155.0,185.0,0.0,0.0,1.0,0.0,178.0,155.0,178.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
781b4b6951df64fe,032cc3922d871c7f,0,0,0,0,0,0,0,0,0,0,0,0,0,18e8b7070228e728,0,0,0,0,0,0,0,0,0,0,0,0,0,178.0,155.0,178.0,0.0,0.0,1.0,0.0,178.0,155.0,178.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
f44aa569b4eec404,a7b48e18ca27795d,0,0,0,0,0,0,0,0,0,0,0,0,0,baf942f4bcb09894,0,0,0,0,0,0,0,0,0,0,0,0,0,190.0,266.0,,0.0,0.0,0.0,1.0,193.0,230.0,,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
d37ed975c2b70fd2,49a74b9fb2e45fdf,2,175,581,143,8,24,116,22,37,5,9,3,368,98aa60cf58071fd6,0,125,435,79,19,27,110,15,0,1,4,0,80,163.0,125.0,163.0,0.0,0.0,1.0,0.0,165.0,125.0,168.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0
6c2097664ac1bf16,8a304bfd6bf04a57,3,597,1381,263,174,160,290,243,64,28,6,1,2469,98aa60cf58071fd6,0,62,239,26,11,25,52,10,0,1,4,0,56,160.0,125.0,168.0,0.0,0.0,1.0,0.0,165.0,125.0,168.0,0.0,0.0,1.0,0.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1
