,Fighter_ID,Knockdowns_0_sum,Knockdowns_0_min,Knockdowns_0_max,Knockdowns_0_mean,Knockdowns_0_median,Knockdowns_0_q25,Knockdowns_0_q75,Significant_Strikes_0_sum,Significant_Strikes_0_min,Significant_Strikes_0_max,Significant_Strikes_0_mean,Significant_Strikes_0_median,Significant_Strikes_0_q25,Significant_Strikes_0_q75,Significant_Strike_pct_0_sum,Significant_Strike_pct_0_min,Significant_Strike_pct_0_max,Significant_Strike_pct_0_mean,Significant_Strike_pct_0_median,Significant_Strike_pct_0_q25,Significant_Strike_pct_0_q75,Total_Strikes_0_sum,Total_Strikes_0_min,Total_Strikes_0_max,Total_Strikes_0_mean,Total_Strikes_0_median,Total_Strikes_0_q25,Total_Strikes_0_q75,Head_0_sum,Head_0_min,Head_0_max,Head_0_mean,Head_0_median,Head_0_q25,Head_0_q75,Body_0_sum,Body_0_min,Body_0_max,Body_0_mean,Body_0_median,Body_0_q25,Body_0_q75,Legs_0_sum,Legs_0_min,Legs_0_max,Legs_0_mean,Legs_0_median,Legs_0_q25,Legs_0_q75,Distance_0_sum,Distance_0_min,Distance_0_max,Distance_0_mean,Distance_0_median,Distance_0_q25,Distance_0_q75,Clinch_0_sum,Clinch_0_min,Clinch_0_max,Clinch_0_mean,Clinch_0_median,Clinch_0_q25,Clinch_0_q75,Ground_0_sum,Ground_0_min,Ground_0_max,Ground_0_mean,Ground_0_median,Ground_0_q25,Ground_0_q75,Takedowns_0_sum,Takedowns_0_min,Takedowns_0_max,Takedowns_0_mean,Takedowns_0_median,Takedowns_0_q25,Takedowns_0_q75,Takedown_pct_0_sum,Takedown_pct_0_min,Takedown_pct_0_max,Takedown_pct_0_mean,Takedown_pct_0_median,Takedown_pct_0_q25,Takedown_pct_0_q75,Submission_Attempt_0_sum,Submission_Attempt_0_min,Submission_Attempt_0_max,Submission_Attempt_0_mean,Submission_Attempt_0_median,Submission_Attempt_0_q25,Submission_Attempt_0_q75,Rev_0_sum,Rev_0_min,Rev_0_max,Rev_0_mean,Rev_0_median,Rev_0_q25,Rev_0_q75,Control_Time_0_sum,Control_Time_0_min,Control_Time_0_max,Control_Time_0_mean,Control_Time_0_median,Control_Time_0_q25,Control_Time_0_q75
1597,6e7c758f5cdec01a,2,0,1,0.08333333333333333,0.0,0.0,0.0,244,2,22,10.166666666666666,10.5,5.0,12.0,1176.0,23.0,68.0,49.0,52.5,34.0,59.25,886,17,66,36.916666666666664,29.5,27.75,45.25,144,0,14,6.0,5.0,3.75,8.5,52,0,7,2.1666666666666665,2.0,0.0,3.0,48,0,6,2.0,1.0,0.75,3.25,156,0,20,6.5,6.5,2.75,7.25,6,0,1,0.25,0.0,0.0,0.25,82,0,8,3.4166666666666665,3.0,2.0,4.25,22,0,3,0.9166666666666666,1.0,0.0,1.0,1034.0,0.0,100.0,47.0,50.0,0.0,93.75,10,0,2,0.4166666666666667,0.0,0.0,0.25,4,0,1,0.16666666666666666,0.0,0.0,0.0,3650.0,12.0,257.0,152.08333333333334,163.5,108.0,207.25
1598,71f048adbfed5b49,0,0,0,0.0,0.0,0.0,0.0,94,8,39,23.5,23.5,8.0,39.0,194.0,32.0,65.0,48.5,48.5,32.0,65.0,176,26,62,44.0,44.0,26.0,62.0,52,3,23,13.0,13.0,3.0,23.0,34,5,12,8.5,8.5,5.0,12.0,8,0,4,2.0,2.0,0.0,4.0,40,4,16,10.0,10.0,4.0,16.0,44,4,18,11.0,11.0,4.0,18.0,10,0,5,2.5,2.5,0.0,5.0,2,0,1,0.5,0.5,0.0,1.0,100.0,0.0,50.0,25.0,25.0,0.0,50.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,150.0,11.0,64.0,37.5,37.5,11.0,64.0
1599,472f6f6e6d962f40,0,0,0,0.0,0.0,0.0,0.0,142,6,33,23.666666666666668,32.0,12.5,32.75,164.0,20.0,34.0,27.333333333333332,28.0,22.0,32.5,482,32,111,80.33333333333333,98.0,48.5,107.75,110,3,27,18.333333333333332,25.0,8.5,26.5,6,0,2,1.0,1.0,0.25,1.75,26,3,5,4.333333333333333,5.0,3.5,5.0,142,6,33,23.666666666666668,32.0,12.5,32.75,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,4,0,2,0.6666666666666666,0.0,0.0,1.5,0,0,0,0.0,0.0,0.0,0.0,42.0,0.0,17.0,7.0,4.0,1.0,13.75
1600,d2b1c1317a39f6c6,2,1,1,1.0,1.0,1.0,1.0,136,68,68,68.0,68.0,68.0,68.0,102.0,51.0,51.0,51.0,51.0,51.0,51.0,290,145,145,145.0,145.0,145.0,145.0,96,48,48,48.0,48.0,48.0,48.0,10,5,5,5.0,5.0,5.0,5.0,30,15,15,15.0,15.0,15.0,15.0,80,40,40,40.0,40.0,40.0,40.0,40,20,20,20.0,20.0,20.0,20.0,16,8,8,8.0,8.0,8.0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601,68c6cd5287b473a7,0,0,0,0.0,0.0,0.0,0.0,136,1,17,7.555555555555555,6.0,6.0,8.0,720.0,17.0,62.0,40.0,44.0,30.0,50.0,482,8,43,26.77777777777778,25.0,24.0,35.0,90,1,10,5.0,5.0,3.0,7.0,22,0,4,1.2222222222222223,1.0,0.0,1.0,24,0,3,1.3333333333333333,1.0,0.0,2.0,96,1,13,5.333333333333333,5.0,4.0,6.0,10,0,1,0.5555555555555556,1.0,0.0,1.0,30,0,5,1.6666666666666667,1.0,0.0,3.0,16,0,3,0.8888888888888888,1.0,0.0,1.0,334.0,0.0,50.0,18.555555555555557,20.0,0.0,25.0,12,0,2,0.6666666666666666,0.0,0.0,1.0,2,0,1,0.1111111111111111,0.0,0.0,0.0,1090.0,0.0,183.0,60.55555555555556,35.0,8.0,119.00000000000001
1602,817e0bdf08efce2e,0,0,0,0.0,0.0,0.0,0.0,4,2,2,2.0,2.0,2.0,2.0,80.0,40.0,40.0,40.0,40.0,40.0,40.0,48,24,24,24.0,24.0,24.0,24.0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,1.0,1.0,4,2,2,2.0,2.0,2.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,4,2,2,2.0,2.0,2.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1603,53e533db1b8e9712,0,0,0,0.0,0.0,0.0,0.0,22,11,11,11.0,11.0,11.0,11.0,168.0,84.0,84.0,84.0,84.0,84.0,84.0,30,15,15,15.0,15.0,15.0,15.0,22,11,11,11.0,11.0,11.0,11.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,22,11,11,11.0,11.0,11.0,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1604,97a8f39186f489db,0,0,0,0.0,0.0,0.0,0.0,122,8,41,20.333333333333332,12.0,9.0,33.75,318.0,42.0,66.0,53.0,51.0,44.25,62.25,330,27,79,55.0,59.0,35.0,74.0,72,6,22,12.0,8.0,6.5,18.5,18,2,5,3.0,2.0,2.0,4.25,32,0,14,5.333333333333333,2.0,0.5,11.0,98,3,39,16.333333333333332,7.0,4.0,31.0,8,0,2,1.3333333333333333,2.0,0.5,2.0,16,0,5,2.6666666666666665,3.0,0.75,4.5,2,0,1,0.3333333333333333,0.0,0.0,0.75,200.0,0.0,100.0,33.333333333333336,0.0,0.0,75.0,8,1,2,1.3333333333333333,1.0,1.0,1.75,4,0,1,0.6666666666666666,1.0,0.25,1.0,444.0,0.0,134.0,74.0,88.0,22.0,122.5
1605,a2b06ca02bca14c0,2,1,1,1.0,1.0,1.0,1.0,18,9,9,9.0,9.0,9.0,9.0,150.0,75.0,75.0,75.0,75.0,75.0,75.0,30,15,15,15.0,15.0,15.0,15.0,18,9,9,9.0,9.0,9.0,9.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,1.0,1.0,1.0,1.0,8,4,4,4.0,4.0,4.0,4.0,8,4,4,4.0,4.0,4.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606,c77a953488e5607d,0,0,0,0.0,0.0,0.0,0.0,350,0,28,17.5,17.5,13.0,23.0,798.0,0.0,59.0,39.9,40.5,34.0,54.0,1006,5,101,50.3,51.5,37.0,61.0,144,0,13,7.2,7.0,3.0,12.0,76,0,9,3.8,3.0,1.0,6.0,130,0,12,6.5,7.0,5.0,8.0,242,0,24,12.1,12.5,5.0,20.0,70,0,8,3.5,3.0,2.0,5.0,38,0,9,1.9,0.0,0.0,2.0,18,0,4,0.9,0.0,0.0,2.0,540.0,0.0,100.0,30.0,0.0,0.0,50.0,2,0,1,0.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1706.0,2.0,245.00000000000003,85.3,18.5,12.0,165.0
1607,873626e5547b5235,0,0,0,0.0,0.0,0.0,0.0,88,4,28,14.666666666666666,12.0,6.0,24.0,198.0,28.0,40.0,33.0,31.0,28.75,37.75,248,15,70,41.333333333333336,39.0,21.0,62.25,46,3,13,7.666666666666667,7.0,4.0,11.5,18,1,6,3.0,2.0,1.25,5.0,24,0,9,4.0,3.0,0.75,7.5,84,3,28,14.0,11.0,5.0,23.75,4,0,1,0.6666666666666666,1.0,0.25,1.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,96.0,0.0,48.0,16.0,0.0,0.0,36.0
1608,d62bb4d84a7267ba,0,0,0,0.0,0.0,0.0,0.0,18,3,6,4.5,4.5,3.0,6.0,182.0,37.0,54.0,45.5,45.5,37.0,54.0,156,37,41,39.0,39.0,37.0,41.0,14,2,5,3.5,3.5,2.0,5.0,4,1,1,1.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.5,0.5,0.0,1.0,16,3,5,4.0,4.0,3.0,5.0,4,1,1,1.0,1.0,1.0,1.0,200.0,50.0,50.0,50.0,50.0,50.0,50.0,6,0,3,1.5,1.5,0.0,3.0,0,0,0,0.0,0.0,0.0,0.0,1128.0,280.0,284.0,282.0,282.0,280.0,284.0
1609,41f90012b86a11bf,2,0,1,0.3333333333333333,0.0,0.0,0.75,78,8,17,13.0,14.0,9.5,16.25,166.0,24.0,34.0,27.666666666666668,25.0,24.25,31.75,286,33,56,47.666666666666664,54.0,38.25,55.5,44,3,12,7.333333333333333,7.0,4.0,10.75,6,0,2,1.0,1.0,0.25,1.75,28,3,7,4.666666666666667,4.0,3.25,6.25,64,8,12,10.666666666666666,12.0,9.0,12.0,14,0,5,2.3333333333333335,2.0,0.5,4.25,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,12.0,0.0,4.0,2.0,2.0,0.5,3.5
1610,2b68d9f125d07b42,0,0,0,0.0,0.0,0.0,0.0,46,23,23,23.0,23.0,23.0,23.0,102.0,51.0,51.0,51.0,51.0,51.0,51.0,116,58,58,58.0,58.0,58.0,58.0,28,14,14,14.0,14.0,14.0,14.0,6,3,3,3.0,3.0,3.0,3.0,12,6,6,6.0,6.0,6.0,6.0,24,12,12,12.0,12.0,12.0,12.0,4,2,2,2.0,2.0,2.0,2.0,18,9,9,9.0,9.0,9.0,9.0,2,1,1,1.0,1.0,1.0,1.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,104.0,52.0,52.0,52.0,52.0,52.0,52.0
1611,e5767ed355a937c2,10,0,1,0.8333333333333334,1.0,1.0,1.0,130,4,21,10.833333333333334,8.0,5.0,19.0,716.0,40.0,100.0,59.666666666666664,52.5,46.0,67.0,252,5,48,21.0,15.5,8.0,34.0,126,3,21,10.5,7.5,5.0,19.0,4,0,1,0.3333333333333333,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,36,1,6,3.0,2.0,1.0,6.0,16,0,6,1.3333333333333333,0.5,0.0,1.0,78,0,19,6.5,5.0,2.0,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1612,bc656db347f31e19,0,0,0,0.0,0.0,0.0,0.0,48,0,21,8.0,3.0,0.75,16.5,118.0,0.0,41.0,19.666666666666668,18.0,4.5,35.25,156,1,54,26.0,23.0,6.5,46.25,12,0,5,2.0,1.0,0.25,4.0,14,0,5,2.3333333333333335,2.0,0.5,4.25,22,0,11,3.6666666666666665,0.0,0.0,8.25,20,0,7,3.3333333333333335,3.0,0.75,6.0,28,0,14,4.666666666666667,0.0,0.0,10.5,0,0,0,0.0,0.0,0.0,0.0,4,0,1,0.6666666666666666,1.0,0.25,1.0,232.0,16.0,100.0,58.0,58.0,16.0,100.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,290.0,0.0,136.0,48.333333333333336,9.0,2.25,104.25
1613,a196332ee4aa8a82,4,0,1,0.4,0.0,0.0,1.0,52,0,15,5.2,2.0,1.0,8.0,328.0,0.0,66.0,32.8,33.0,25.0,40.0,270,1,110,27.0,7.0,5.0,12.0,32,0,8,3.2,1.0,1.0,6.0,10,0,5,1.0,0.0,0.0,0.0,10,0,2,1.0,1.0,0.0,2.0,28,0,8,2.8,2.0,1.0,3.0,6,0,2,0.6,0.0,0.0,1.0,18,0,6,1.8,0.0,0.0,3.0,4,0,1,0.4,0.0,0.0,1.0,300.0,50.0,100.0,75.0,75.0,50.0,100.0,26,1,4,2.6,3.0,2.0,3.0,4,0,1,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1614,7f0f171414d0a287,0,0,0,0.0,0.0,0.0,0.0,56,13,15,14.0,14.0,13.0,15.0,158.0,35.0,44.0,39.5,39.5,35.0,44.0,168,36,48,42.0,42.0,36.0,48.0,30,7,8,7.5,7.5,7.0,8.0,20,5,5,5.0,5.0,5.0,5.0,6,1,2,1.5,1.5,1.0,2.0,38,9,10,9.5,9.5,9.0,10.0,18,4,5,4.5,4.5,4.0,5.0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.5,0.5,0.0,1.0,200.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,300.0,61.00000000000001,89.0,75.0,75.0,61.00000000000001,89.0
1615,e26bd53b751d61d9,0,0,0,0.0,0.0,0.0,0.0,60,7,14,10.0,9.0,7.5,12.75,196.0,20.0,53.0,32.666666666666664,25.0,21.25,46.0,274,37,51,45.666666666666664,49.0,40.0,50.5,50,6,11,8.333333333333334,8.0,6.5,10.25,8,1,2,1.3333333333333333,1.0,1.0,1.75,2,0,1,0.3333333333333333,0.0,0.0,0.75,46,7,9,7.666666666666667,7.0,7.0,8.5,14,0,7,2.3333333333333335,0.0,0.0,5.25,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,288.0,23.0,71.0,48.0,50.0,29.75,65.75
1616,4b4753d19489297f,0,0,0,0.0,0.0,0.0,0.0,90,0,25,9.0,6.0,3.0,11.0,394.0,0.0,64.0,39.4,55.0,18.0,60.0,260,1,57,26.0,33.0,5.0,34.0,88,0,24,8.8,6.0,3.0,11.0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.2,0.0,0.0,0.0,24,0,6,2.4,2.0,1.0,3.0,4,0,2,0.4,0.0,0.0,0.0,62,0,21,6.2,0.0,0.0,10.0,6,0,2,0.6,0.0,0.0,1.0,200.0,50.0,50.0,50.0,50.0,50.0,50.0,2,0,1,0.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,622.0,0.0,163.0,62.2,0.0,0.0,148.0
